Movie Name,Duration,IMdb rating,Rating,Description,Votes,Poster,Month of Release
33. Vizhithelu,,9.1,47,The Story is Based on the Online Scamming Which We Facing Today's Life,47,"https://m.media-amazon.com/images/M/MV5BMDE2ZmNiZTgtZGY0OC00YjhmLWJkNmMtOTE5NWFmZDAyYWIzXkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_QL75_UX140_CR0,1,140,207_.jpg",March
34. Kidugu,1h 47m,5,122,A group of young nationalists murder a couple of policemen and surrenders themselves in police station. Why did they commit the murder ?,122,"https://m.media-amazon.com/images/M/MV5BYmM3ZmI5MzYtZThlZC00ZjE5LTk2NDItNmZmYzU1NGNmMGQyXkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_QL75_UX140_CR0,1,140,207_.jpg",March
35. Kannitheevu,,2.7,35,"Three women from North Madras who protest for an issue in their area, While the protest initially fetches them recognition, it eventually spells trouble for them.",35,"https://m.media-amazon.com/images/M/MV5BODcyNjc4MTEtNjU4YS00NTQ0LWI3ZTktYWYwNjIwYWI2YWEyXkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_QL75_UY207_CR8,0,140,207_.jpg",March
36. Kondraal Paavam,1h 49m,7.4,692,A stranger enters the life of a family that has been suffering in poverty for years. What follows are the events that make their lives even more miserable.,692,"https://m.media-amazon.com/images/M/MV5BMmIyMDIwOGUtNGI4Yy00MDVjLWE4M2QtMzU5OGE5YTU2ZjY3XkEyXkFqcGdeQXVyMTUyNjIwMDEw._V1_QL75_UY207_CR34,0,140,207_.jpg",March
37. Memories,2h,5.3,134,"Venki, who is a murder accused.With his memory loss, the lead role is unable to recollect the entire incident of the murder and the rest of the story is about how he gets out",134,"https://m.media-amazon.com/images/M/MV5BM2E2NmFkMmUtZmZiZi00MDM5LWI2OGItNzliM2FiZGIyYWJhXkEyXkFqcGdeQXVyMjA1MTA3MjY@._V1_QL75_UX140_CR0,1,140,207_.jpg",March
38. Agilan,2h 13m,4.3,754,"When a crane operator starts controlling illegal trades at the harbor, he winds up clashing with another gangster.",754,"https://m.media-amazon.com/images/M/MV5BNTU0NjkxNjYtMDYxZi00MDEzLWFhYWMtMmViMTJiYjgxY2M0XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR6,0,140,207_.jpg",March
39. Irumban,,9.1,11,Love between poor boy and rich girl.,11,"https://m.media-amazon.com/images/M/MV5BNWYxYzk3MDQtMGZmMy00MzFlLWFiMWUtNmU4NmUyNGQwYTMxXkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_QL75_UX140_CR0,6,140,207_.jpg",March
40. Kuttrappinnani,1h 49m,,,"This story tells about Hero saravanan how he change his name as susai and how he murder Selvi , Nandhini ad Aandisamy , how he got aressted by Sentamilian",,"https://m.media-amazon.com/images/M/MV5BMzQ0Zjg3YTUtZTQ4ZC00OTg3LTllYTktZGQ5N2Q4MmViNGQyXkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_QL75_UX140_CR0,1,140,207_.jpg",March
41. Kannai Nambathey,2h 11m,5.7,740,"It revolves around a mysterious man who justifies his crime. According to him, people commit crimes for two reasons; to hide wrongdoing or to ensure a flawless future.",740,"https://m.media-amazon.com/images/M/MV5BNzhiZWZhZjktZGQ4MC00Njk1LTgzNzEtNDBjMGMwODEzYmI5XkEyXkFqcGdeQXVyMTY0MDk0NjE3._V1_QL75_UY207_CR8,0,140,207_.jpg",March
42. Kudimahaan,2h 22m,6.7,138,"The story of a middle-class man who is a complete teetotaller, whose life take a turn with issues related to drinking. It is a complete fun and joyful ride with his friends who help him to come out of the issues and get back to his normal middle class life.",138,"https://m.media-amazon.com/images/M/MV5BMmVjNzRhMTctYmU4Ni00ZGMxLTkzNTQtNDg3MjRiMTI1NjEyXkEyXkFqcGdeQXVyNTMzMTE2NTg@._V1_QL75_UX140_CR0,1,140,207_.jpg",March
